team,n_played,points,gd,pos
Stabæk,1,1,0,6
Stabæk,2,4,1,4
Stabæk,3,4,-2,9
Stabæk,4,4,-4,11
Stabæk,5,7,-3,10
Stabæk,6,8,-3,12
Stabæk,7,11,1,7
Stabæk,8,11,0,10
Stabæk,9,12,0,10
Stabæk,10,13,0,10
Stabæk,11,13,-2,12
Stabæk,12,13,-6,13
Stabæk,13,13,-7,14
Stabæk,14,14,-7,14
Stabæk,15,14,-9,14
Stabæk,16,15,-9,14
Stabæk,17,15,-10,14
Stabæk,18,15,-11,14
Stabæk,19,15,-12,14
Stabæk,20,16,-12,14
Stabæk,21,17,-12,14
Stabæk,22,18,-12,14
Stabæk,23,21,-9,14
Stabæk,24,22,-9,14
Stabæk,25,25,-4,13
Stabæk,26,28,-2,12
Stabæk,27,31,0,10
Stabæk,28,31,-1,10
Stabæk,29,31,-5,11
Stabæk,30,31,-8,11
Aalesund,1,1,0,7
Aalesund,2,4,1,5
Aalesund,3,5,1,7
Aalesund,4,6,1,6
Aalesund,5,9,3,4
Aalesund,6,12,5,3
Aalesund,7,13,5,2
Aalesund,8,13,4,5
Aalesund,9,14,4,6
Aalesund,10,14,1,9
Aalesund,11,17,2,6
Aalesund,12,18,2,6
Aalesund,13,19,2,6
Aalesund,14,22,4,4
Aalesund,15,23,4,4
Aalesund,16,26,6,3
Aalesund,17,29,7,3
Aalesund,18,29,3,3
Aalesund,19,32,9,3
Aalesund,20,32,7,5
Aalesund,21,32,6,6
Aalesund,22,35,7,5
Aalesund,23,38,10,5
Aalesund,24,38,9,5
Aalesund,25,41,11,5
Aalesund,26,44,17,4
Aalesund,27,47,18,4
Aalesund,28,48,18,4
Aalesund,29,51,21,4
Aalesund,30,52,21,4
Hødd,1,1,0,8
Hødd,2,1,-2,12
Hødd,3,4,-1,8
Hødd,4,4,-2,10
Hødd,5,7,-1,8
Hødd,6,10,0,7
Hødd,7,10,-2,10
Hødd,8,13,0,8
Hødd,9,14,0,7
Hødd,10,15,0,8
Hødd,11,15,-2,10
Hødd,12,15,-7,12
Hødd,13,18,-5,9
Hødd,14,19,-5,9
Hødd,15,22,-4,7
Hødd,16,22,-5,9
Hødd,17,22,-6,10
Hødd,18,22,-8,11
Hødd,19,23,-8,11
Hødd,20,24,-8,10
Hødd,21,24,-10,13
Hødd,22,27,-9,9
Hødd,23,30,-8,9
Hødd,24,30,-9,10
Hødd,25,30,-13,10
Hødd,26,31,-13,10
Hødd,27,31,-16,11
Hødd,28,31,-18,11
Hødd,29,32,-18,10
Hødd,30,33,-18,10
Egersund,1,3,1,2
Egersund,2,6,3,1
Egersund,3,9,4,1
Egersund,4,12,5,1
Egersund,5,13,5,2
Egersund,6,13,4,2
Egersund,7,13,2,5
Egersund,8,13,1,7
Egersund,9,13,0,8
Egersund,10,16,2,5
Egersund,11,17,2,7
Egersund,12,20,4,4
Egersund,13,21,4,4
Egersund,14,21,-1,7
