team,n_played,points,gd,pos
Stabæk,1,1,0,6
Stabæk,2,4,1,4
Stabæk,3,4,-2,9
Stabæk,4,4,-4,11
Stabæk,5,7,-3,10
Stabæk,6,8,-3,12
Stabæk,7,11,1,7
Stabæk,8,11,0,10
Stabæk,9,12,0,10
Stabæk,10,13,0,10
Stabæk,11,13,-2,12
Stabæk,12,13,-6,13
Stabæk,13,13,-7,14
Stabæk,14,14,-7,14
Stabæk,15,14,-9,14
Stabæk,16,-,-,-
Stabæk,17,-,-,-
Stabæk,18,-,-,-
Stabæk,19,-,-,-
Stabæk,20,-,-,-
Stabæk,21,-,-,-
Stabæk,22,-,-,-
Stabæk,23,-,-,-
Stabæk,24,-,-,-
Stabæk,25,-,-,-
Stabæk,26,-,-,-
Stabæk,27,-,-,-
Stabæk,28,-,-,-
Stabæk,29,-,-,-
Stabæk,30,-,-,-
Aalesund,1,1,0,7
Aalesund,2,4,1,5
Aalesund,3,5,1,7
Aalesund,4,6,1,6
Aalesund,5,9,3,4
Aalesund,6,12,5,3
Aalesund,7,13,5,2
Aalesund,8,13,4,5
Aalesund,9,14,4,6
Aalesund,10,14,1,9
Aalesund,11,17,2,6
Aalesund,12,18,2,6
Aalesund,13,19,2,6
Aalesund,14,22,4,4
Aalesund,15,23,4,4
Aalesund,16,-,-,-
Aalesund,17,-,-,-
Aalesund,18,-,-,-
Aalesund,19,-,-,-
Aalesund,20,-,-,-
Aalesund,21,-,-,-
Aalesund,22,-,-,-
Aalesund,23,-,-,-
Aalesund,24,-,-,-
Aalesund,25,-,-,-
Aalesund,26,-,-,-
Aalesund,27,-,-,-
Aalesund,28,-,-,-
Aalesund,29,-,-,-
Aalesund,30,-,-,-
Hødd,1,1,0,8
Hødd,2,1,-2,12
Hødd,3,4,-1,8
Hødd,4,4,-2,10
Hødd,5,7,-1,8
Hødd,6,10,0,7
Hødd,7,10,-2,10
Hødd,8,13,0,8
Hødd,9,14,0,7
Hødd,10,15,0,8
Hødd,11,15,-2,10
Hødd,12,15,-7,12
Hødd,13,18,-5,9
Hødd,14,19,-5,9
Hødd,15,22,-4,7
Hødd,16,-,-,-
Hødd,17,-,-,-
Hødd,18,-,-,-
Hødd,19,-,-,-
Hødd,20,-,-,-
Hødd,21,-,-,-
Hødd,22,-,-,-
Hødd,23,-,-,-
Hødd,24,-,-,-
Hødd,25,-,-,-
Hødd,26,-,-,-
Hødd,27,-,-,-
Hødd,28,-,-,-
Hødd,29,-,-,-
Hødd,30,-,-,-
Egersund,1,3,1,2
Egersund,2,6,3,1
Egersund,3,9,4,1
Egersund,4,12,5,1
Egersund,5,13,5,2
Egersund,6,13,4,2
Egersund,7,13,2,5
Egersund,8,13,1,7
Egersund,9,13,0,8
Egersund,10,16,2,5
Egersund,11,17,2,7
Egersund,12,20,4,4
Egersund,13,21,4,4
Egersund,14,21,-1,7
Egersund,15,21,-2,9
Egersund,16,-,-,-
