n_played,pos,team
1,1,Brann
1,2,Bodø/Glimt
1,3,HamKam
1,4,Tromsø
1,5,Vålerenga
1,6,Rosenborg
1,7,Strømsgodset
1,8,Stabæk
1,9,Odd
1,10,Viking
1,11,Molde
1,12,Aalesund
1,13,Lillestrøm
1,14,Sandefjord
1,15,Sarpsborg
1,16,Haugesund
2,1,Bodø/Glimt
2,2,Odd
2,3,Tromsø
2,4,Rosenborg
2,5,Brann
2,6,Viking
2,7,HamKam
2,8,Sarpsborg
2,9,Strømsgodset
2,10,Lillestrøm
2,11,Vålerenga
2,12,Haugesund
2,13,Molde
2,14,Sandefjord
2,15,Stabæk
2,16,Aalesund
3,1,Bodø/Glimt
3,2,Brann
3,3,HamKam
3,4,Lillestrøm
3,5,Odd
3,6,Tromsø
3,7,Rosenborg
3,8,Viking
3,9,Sarpsborg
3,10,Stabæk
3,11,Strømsgodset
3,12,Vålerenga
3,13,Haugesund
3,14,Sandefjord
3,15,Molde
3,16,Aalesund
4,1,Bodø/Glimt
4,2,Lillestrøm
4,3,Tromsø
4,4,Viking
4,5,Brann
4,6,Stabæk
4,7,Odd
4,8,Rosenborg
4,9,HamKam
4,10,Sandefjord
4,11,Sarpsborg
4,12,Haugesund
4,13,Strømsgodset
4,14,Vålerenga
4,15,Molde
4,16,Aalesund
5,1,Bodø/Glimt
5,2,Brann
5,3,Lillestrøm
5,4,Viking
5,5,Tromsø
5,6,Stabæk
5,7,Sandefjord
5,8,Odd
5,9,Sarpsborg
5,10,Rosenborg
5,11,Vålerenga
5,12,HamKam
5,13,Haugesund
5,14,Molde
5,15,Strømsgodset
5,16,Aalesund
6,1,Bodø/Glimt
6,2,Lillestrøm
6,3,Viking
6,4,Brann
6,5,Tromsø
6,6,Stabæk
6,7,Odd
6,8,Sarpsborg
6,9,Molde
6,10,Vålerenga
6,11,Sandefjord
6,12,Rosenborg
6,13,Haugesund
6,14,HamKam
6,15,Strømsgodset
6,16,Aalesund
